Zone,District,AC No,AC Name,Current MLA,Party,Margin_2019,GE2024 Status,Margin_2024
Thane + Palghar,Thane,142,Kalyan East,Ganpat Kalu Gaikwad,BJP,"61,714",Won,"32,596"
Thane + Palghar,Thane,144,Kalyan Rural,Pramod (Raju) Ratan Patil,MNS,"82,738",Won,"86,295"
Thane + Palghar,Thane,145,Meera Bhayandar,Geeta Bharat Jain,IND,"69,268",Won,"40,650"
Thane + Palghar,Thane,146,Ovala majiwada,Pratap Baburao Sarnaik,SHS,"92,718",Won,"61,399"
Thane + Palghar,Thane,147,Kopri-Pachpakhadi,Eknath Sambhaji Shinde,SHS,"81,349",Won,"44,875"
Thane + Palghar,Thane,149,Mumbra-Kalwa,Awhad Jitendra Satish,NCP-SP,-9881,Lost,"-65,508"
Vidarbha,Buldhana,22,Buldhana,Sanjay Rambhau Gaikwad,SHS,"25,793",Lost,"-2,255"
Vidarbha,Buldhana,25,Mehkar (SC),Sanjay Bhaskar Raymulkar,SHS,"6,335",Won,273
Vidarbha,Akola,29,Balapur,Nitinkumar Bhikanrao Tale,UBT,"23,507",Lost,"-9,844"
Vidarbha,Washim,33,Risod,Amit Subhashrao Zanak,INC,"51,305",Won,"8,082"
Vidarbha,Amravati,37,Badnera,Ravi Rana,IND,"10,429",Won,"26,763"
Vidarbha,Amravati,38,Amravati,Sulbha Sanjay Khodke,INC,-27768,Lost,"-41,648"
Vidarbha,Amravati,39,Teosa,Adv. Yashomati Chandrakant Thakur,INC,-4515,Lost,"-10,576"
Vidarbha,Amravati,40,Daryapur (SC),Resignation : Balwant Baswant Wankhade (Vacant),INC,-11135,Lost,"-8,671"
Vidarbha,Wardha,45,Deoli,Ranjit Prataprao Kamble,INC,"16,800",Lost,"-32,022"
Vidarbha,Nagpur,51,Umred (SC),Resignation : Raju Devnath Parwe (Vacant),INC,"22,970",Lost,"-14,879"
Vidarbha,Nagpur,59,Ramtek,Ashish Nandkishor Jaiswal (Vakil),IND,"23,077",Lost,"-4,668"
Vidarbha,Bhandara,61,Bhandara (SC),Narendra Bhojraj Bhondekar,IND,"54,553",Lost,"-22,853"
Vidarbha,Chandrapur,71,Chandrapur (SC),Jorgewar Kishor Gajanan,IND,-25744,Lost,"-39,327"
Vidarbha,Chandrapur,75,Warora,Resignation : Dhanorkar Pratibha Suresh (Vacant),INC,-12460,Lost,"-37,050"
Vidarbha,Yavatmal,79,Digras,Rathod Sanjay Dulichand,SHS,"18,542",Lost,"-8,667"
Western Maharashtra,Pune,195,Junnar,Atul Vallabh Benke,NCP-AP,-41551,Lost,"-51,393"
Western Maharashtra,Pune,197,Khed Alandi,Dilip Dattatray Mohite,NCP-AP,-7446,Lost,"-46,263"
Western Maharashtra,Pune,202,Purandar,Sanjay Chandukaka Jagtap,INC,-9681,Lost,"-35,281"
Western Maharashtra,Pune,203,Bhor,Sangram Anantrao Thopte,INC,-19004,Lost,"-43,805"
Western Maharashtra,Ahmednagar,224,Parner,Resignation : Nilesh Dnyandev Lanke (Vacant),NCP-SP,"36,709",Lost,"-38,100"
Western Maharashtra,Solapur,249,Solapur City Central,Resignation : Shinde Praniti Sushilkumar (Vacant),INC,"30,829",Lost,-796
Western Maharashtra,Solapur,253,Sangola,Adv. Shahajibapu Rajaram Patil,SHS,-3374,Won,"4,482"
Western Maharashtra,Satara,257,Koregaon,Mahesh Sambhajiraje Shinde,SHS,-33427,Won,"6,835"
Western Maharashtra,Satara,258,Man,Jaykumar Bhagwanrao Gore,BJP,"23,215",Won,"23,355"
Western Maharashtra,Satara,259,Karad North,Balasaheb Urf Shamrao Pandurang Patil,NCP-SP,-38963,Lost,"-1,724"
Western Maharashtra,Satara,261,Patan,Desai Shambhuraj Shivajirao,SHS,"18,314",Lost,"-2,943"
Western Maharashtra,Kolhapur,272,Radhanagari,Abitkar Prakash Anandrao,SHS,"39,215",Lost,"-65,604"
Western Maharashtra,Kolhapur,275,Karvir,Late. P. N.Patil (Sadolikar) (Vacant),INC,"36,810",Lost,"-71,395"
Western Maharashtra,Kolhapur,276,Kolhapur North,Jayashree Jadhav,INC,"27,655",Lost,"-14,528"
Western Maharashtra,Kolhapur,278,Hatkanangle (SC),Awale Raju (Baba) Jaywantrao,INC,"45,467",Won,"17,493"
Western Maharashtra,Kolhapur,279,Ichalkaranji,Prakashanna Awade,IND,"74,930",Won,"39,172"
Western Maharashtra,Kolhapur,280,Shirol,Rajendra Shamgonda Patil (Yadravkar),IND,-7048,Won,"3,247"
Western Maharashtra,Sangli,283,Islampur,Jayant Rajaram Patil,NCP-SP,-18550,Lost,"-17,481"
Western Maharashtra,Sangli,286,Khanpur,Late. Anilbhau Babar (Vacant),SHS,"1,155",Lost,"-16,664"
Western Maharashtra,Sangli,287,Tasgaon-Kavathe,Sumanvahini R.R. Patil,NCP-SP,"40,205",Lost,"-9,411"
Western Maharashtra,Sangli,288,Jat,Vikramsinh Balasaheb Sawant,INC,"24,967",Won,"6,271"
